distancia,obstaculos,clima,bateria,tempo_entrega,risco,sucesso
43,10,1,31,88.7,2,0
33,0,1,69,45.6,2,0
19,1,0,54,28.8,0,1
47,1,1,52,65.8,2,0
12,11,0,52,39.8,2,0
25,5,1,80,50.8,2,0
43,6,0,70,67.6,1,1
23,4,0,62,43.3,0,1
27,0,1,31,41.4,2,0
15,0,1,86,26.6,2,0
15,2,1,84,35.8,2,0
28,13,0,52,67.9,2,0
40,1,1,59,56.6,2,0
44,4,0,93,66.9,0,1
28,11,0,62,58.9,2,0
7,9,0,63,29.0,1,1
26,5,1,48,49.2,2,0
6,6,1,32,27.4,2,0
28,3,0,31,42.1,0,0
48,6,0,65,71.8,1,1
34,10,1,21,63.4,2,0
42,7,0,54,67.1,1,1
6,10,1,27,38.6,2,0
25,0,0,45,32.7,0,1
37,14,1,93,85.7,2,0
16,5,0,53,39.3,1,1
26,7,1,26,60.9,2,0
48,4,0,87,66.4,0,1
29,3,1,77,53.7,2,0
31,1,1,94,49.3,2,0
46,5,0,48,68.4,1,1
32,5,0,55,53.3,1,1
20,10,1,40,57.2,2,0
19,14,0,55,58.5,2,0
48,0,1,29,68.1,2,0
7,8,0,92,34.6,1,1
41,11,1,43,85.5,2,0
11,10,1,83,44.8,2,0
25,5,1,68,44.4,2,0
13,12,1,55,59.5,2,0
43,2,1,43,63.8,2,0
22,3,1,42,43.5,2,0
8,11,0,81,42.8,2,0
29,10,0,56,60.5,2,0
18,3,0,31,28.5,0,0
13,2,1,74,32.9,2,0
30,9,1,32,67.9,2,0
6,2,1,42,22.0,2,0
24,14,1,49,67.2,2,0
32,2,0,36,47.0,0,1
11,3,0,81,21.8,0,1
48,6,1,32,76.5,2,0
12,3,0,78,23.4,0,1
39,8,0,38,60.6,1,1
18,0,1,68,36.6,2,0
21,7,0,31,39.4,1,0
40,6,1,80,75.8,2,0
44,1,0,38,52.9,0,1
8,7,1,95,36.8,2,0
6,0,1,28,12.5,2,0
10,10,1,90,48.0,2,0
46,11,1,47,90.0,2,0
8,8,0,97,31.0,1,1
33,8,1,71,67.6,2,0
22,1,1,35,32.8,2,0
30,6,1,88,60.5,2,0
48,14,0,31,91.1,2,0
38,13,1,44,89.2,2,0
14,9,0,71,38.6,1,1
40,2,1,72,60.8,2,0
18,6,0,42,41.6,1,1
35,11,0,35,76.6,2,0
19,9,1,76,55.7,2,0
12,8,0,58,33.5,1,1
18,3,1,72,36.0,2,0
27,11,1,61,65.4,2,0
44,0,1,77,58.9,2,0
25,1,0,58,31.7,0,1
20,0,0,33,29.9,0,0
49,13,1,24,98.7,2,0
22,11,1,54,58.2,2,0
28,4,0,94,43.7,0,1
30,4,1,37,54.5,2,0
29,10,1,95,67.9,2,0
49,6,1,28,84.2,2,0
45,8,0,93,74.2,1,1
33,8,0,77,61.9,1,1
19,2,0,36,25.5,0,1
49,2,1,26,77.1,2,0
5,2,1,65,19.8,2,0
29,3,1,32,51.5,2,0
11,7,0,59,28.3,1,1
13,5,1,61,37.5,2,0
28,7,1,28,61.1,2,0
5,0,1,69,10.5,2,0
48,7,1,46,78.1,2,0
12,3,0,85,22.8,0,1
28,10,0,24,57.1,2,0
15,0,1,48,26.8,2,0
21,7,0,56,38.8,1,1
12,3,0,57,17.2,0,1
39,5,1,27,67.9,2,0
39,7,1,84,71.3,2,0
37,3,0,36,45.6,0,1
9,13,1,90,55.3,2,0
46,2,0,64,56.3,0,1
43,13,1,23,99.8,2,0
45,8,0,55,72.1,1,1
32,2,1,89,52.6,2,0
11,8,0,50,38.1,1,1
13,12,0,38,50.0,2,0
12,1,0,80,22.9,0,1
16,13,1,73,55.1,2,0
38,1,0,58,44.7,0,1
37,1,0,93,47.6,0,1
27,5,1,38,55.4,2,0
28,2,1,58,46.6,2,0
41,12,0,86,74.3,2,0
39,8,0,64,68.3,1,1
48,3,1,32,72.5,2,0
44,0,1,77,60.2,2,0
26,3,1,39,39.9,2,0
31,0,1,91,47.6,2,0
39,13,1,80,87.7,2,0
5,4,0,58,21.4,0,1
39,3,1,20,62.1,2,0
41,7,0,22,68.4,1,0
18,7,0,96,41.6,1,1
7,6,0,81,18.2,1,1
5,2,1,82,26.9,2,0
9,0,0,44,9.5,0,1
30,0,0,75,37.5,0,1
18,11,1,52,59.0,2,0
43,10,0,57,74.2,2,0
31,2,0,25,47.7,0,0
13,5,1,77,36.9,2,0
19,6,0,63,37.2,1,1
19,5,0,64,35.7,1,1
30,13,0,51,70.8,2,0
46,13,1,64,95.7,2,0
17,5,1,80,43.5,2,0
36,5,1,66,58.6,2,0
43,12,0,40,79.4,2,0
36,2,0,99,41.8,0,1
8,5,1,94,36.1,2,0
34,7,0,55,64.3,1,1
41,10,0,38,76.1,2,0
27,10,1,39,62.4,2,0
43,1,1,76,69.3,2,0
49,4,0,37,67.0,0,1
19,13,0,66,54.7,2,0
47,0,0,68,56.9,0,1
33,11,1,33,76.5,2,0
40,14,1,34,92.9,2,0
17,0,1,50,30.5,2,0
36,4,1,20,60.8,2,0
11,11,0,73,42.7,2,0
26,12,1,22,68.6,2,0
32,2,1,35,53.1,2,0
6,3,1,76,24.2,2,0
46,2,1,94,70.5,2,0
49,0,1,31,68.7,2,0
10,0,0,93,10.7,0,1
32,11,0,35,67.3,2,0
32,11,1,91,75.9,2,0
48,13,0,95,86.2,2,0
48,12,1,43,94.8,2,0
24,13,1,47,71.1,2,0
34,4,0,27,55.9,0,0
15,5,0,55,33.0,1,1
32,2,1,27,56.7,2,0
29,11,1,77,69.1,2,0
43,8,1,79,80.4,2,0
37,4,0,69,56.8,0,1
5,7,1,47,24.5,2,0
31,12,1,60,79.7,2,0
17,0,1,83,22.8,2,0
45,13,0,46,89.5,2,0
7,4,1,82,28.5,2,0
43,14,1,36,87.6,2,0
10,2,0,92,10.1,0,1
12,11,1,52,54.2,2,0
31,0,1,96,48.8,2,0
13,3,0,48,20.5,0,1
41,14,1,32,89.6,2,0
37,12,0,65,75.9,2,0
46,4,0,54,65.2,0,1
48,6,1,25,83.8,2,0
28,0,1,88,43.0,2,0
19,2,1,66,40.5,2,0
36,1,1,44,56.6,2,0
36,8,0,85,65.4,1,1
28,9,1,29,63.0,2,0
45,14,0,75,87.7,2,0
16,5,1,49,39.5,2,0
43,9,1,24,87.6,2,0
6,2,1,52,19.0,2,0
7,7,0,84,26.7,1,1
41,13,1,37,83.0,2,0
21,7,1,68,52.7,2,0
